"Date (UTC)","Solar 50Hertz","Solar Amprion","Solar Tennet","Solar Transnet BW"
2018-12-31T23:00:00.000Z,0,0,0,0
2019-01-01T00:00:00.000Z,0,0,0,0
2019-01-01T01:00:00.000Z,0,0,0,0
2019-01-01T02:00:00.000Z,0,0,0,0
2019-01-01T03:00:00.000Z,0,0,0,0
2019-01-01T04:00:00.000Z,0,0,0,0
2019-01-01T05:00:00.000Z,0,0,0,0
2019-01-01T06:00:00.000Z,0,0,0,0
2019-01-01T07:00:00.000Z,0.015,0.015,0.038,0.017
2019-01-01T08:00:00.000Z,0.14,0.103,0.228,0.111
2019-01-01T09:00:00.000Z,0.346,0.25,0.562,0.21
2019-01-01T10:00:00.000Z,0.569,0.4,0.815,0.27
2019-01-01T11:00:00.000Z,0.696,0.475,0.823,0.238
2019-01-01T12:00:00.000Z,0.624,0.499,0.695,0.189
2019-01-01T13:00:00.000Z,0.371,0.393,0.427,0.108
2019-01-01T14:00:00.000Z,0.105,0.174,0.125,0.042
2019-01-01T15:00:00.000Z,0.001,0.012,0.004,0.005
2019-01-01T16:00:00.000Z,0,0,0,0
2019-01-01T17:00:00.000Z,0,0,0,0
2019-01-01T18:00:00.000Z,0,0,0,0
2019-01-01T19:00:00.000Z,0,0,0,0
2019-01-01T20:00:00.000Z,0,0,0,0
2019-01-01T21:00:00.000Z,0,0,0,0
2019-01-01T22:00:00.000Z,0,0,0,0
2019-01-01T23:00:00.000Z,0,0,0,0
2019-01-02T00:00:00.000Z,0,0,0,0
2019-01-02T01:00:00.000Z,0,0,0,0
2019-01-02T02:00:00.000Z,0,0,0,0
2019-01-02T03:00:00.000Z,0,0,0,0
2019-01-02T04:00:00.000Z,0,0,0,0
2019-01-02T05:00:00.000Z,0,0,0,0
2019-01-02T06:00:00.000Z,0,0,0,0
2019-01-02T07:00:00.000Z,0.038,0.007,0.043,0.022
2019-01-02T08:00:00.000Z,0.413,0.24,0.659,0.168
2019-01-02T09:00:00.000Z,1.024,0.761,2.011,0.353
2019-01-02T10:00:00.000Z,1.574,1.303,2.937,0.52
2019-01-02T11:00:00.000Z,1.664,1.585,3.053,0.628
2019-01-02T12:00:00.000Z,1.491,1.455,2.677,0.648
2019-01-02T13:00:00.000Z,0.931,1.072,1.724,0.537
2019-01-02T14:00:00.000Z,0.238,0.479,0.522,0.261
2019-01-02T15:00:00.000Z,0.002,0.034,0.023,0.025
2019-01-02T16:00:00.000Z,0,0,0,0
